,0
"(4, 7, 1, 6, 8, 9, 7, 5, 9, 6, 9, 3)",1
"(-1, 7, 4, 6, 4, 7, 9, 6, 9, 6, 9, 3)",1
"(-1, 7, 9, 8, 9, 9, 9, 9, 9, 9, 9, 3)",1
"(4, 7, -1, 6, 4, 7, 9, 7, 9, 6, 9, 3)",1
"(8, 9, -2, 7, 9, 9, 7, 6, 9, 6, 9, 3)",1
"(4, 7, 9, 8, 5, 9, 9, 4, 5, 8, 9, 3)",1
"(-2, 7, 9, 9, 9, 9, 9, 9, 9, 8, 9, 3)",1
"(9, 9, 5, 8, 7, 7, 8, 8, 4, 7, 9, 3)",1
"(5, 7, 9, 8, 4, 9, 9, 3, 9, 9, 9, 8)",1
"(-1, 7, 5, 6, 7, 9, 7, 4, 9, 7, 9, 3)",1
"(9, 9, 1, 8, 3, 7, 8, 5, 9, 6, 9, 5)",1
"(2, 7, 8, 7, 3, 8, 9, 4, 9, 9, 8, 3)",1
"(4, 7, -1, 6, 4, 6, 9, 7, 9, 7, 9, 3)",1
"(-2, 7, 6, 7, 9, 9, 8, 8, 9, 7, 9, 3)",1
"(6, 8, 4, 7, 4, 7, 8, 5, 5, 6, 9, 3)",1
"(-2, 7, 9, 8, 4, 9, 9, 4, 9, 9, 9, 3)",1
"(8, 9, 2, 8, 3, 6, 7, 3, 9, 8, 9, 4)",1
"(8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 4, 3)",1
"(7, 9, 1, 7, 9, 9, 6, 6, 9, 9, 9, 3)",1
"(-1, 7, 4, 6, 9, 9, 7, 7, 9, 6, 9, 3)",1
"(4, 7, 1, 6, 3, 6, 7, 4, 9, 7, 9, 3)",1
"(9, 9, 4, 8, 6, 9, 9, 6, 9, 6, 5, 3)",1
"(5, 8, 9, 9, 9, 9, 9, 9, 9, 9, 4, 3)",1
"(9, 9, -2, 8, 6, 8, 8, 6, 9, 6, 9, 3)",1
"(7, 9, 9, 9, 9, 9, 9, 9, 4, 9, 9, 3)",1
"(8, 9, 2, 7, 4, 6, 9, 7, 9, 9, 9, 3)",1
"(8, 9, 9, 9, 8, 8, 9, 9, 9, 9, 5, 3)",1
"(7, 8, 3, 7, 7, 8, 8, 8, 5, 6, 9, 3)",1
"(7, 9, 5, 7, 4, 6, 8, 6, 9, 9, 7, 3)",1
"(8, 9, 2, 7, 8, 9, 6, 5, 9, 9, 9, 3)",1
