,0
"(1, 7, 7, 9, 8, 9, 7, 6, 8, 6, 9, 3)",1
"(-1, 6, -1, 3, 4, 6, 6, 4, 9, 6, 9, 4)",1
"(1, 7, 8, 9, 4, 7, 8, 5, 8, 7, 9, 3)",1
"(-1, 6, 2, 3, 4, 6, 6, 4, 9, 6, 9, 4)",1
"(-1, 7, 2, 3, 9, 9, 6, 6, 9, 6, 8, 3)",1
"(1, 7, 9, 9, 9, 9, 9, 9, 9, 7, 8, 3)",1
"(-1, 6, -1, 3, 9, 9, 9, 8, 9, 5, 9, 3)",1
"(1, 7, 8, 8, 5, 8, 7, 4, 8, 7, 9, 3)",1
"(-1, 6, 2, 3, 8, 6, 8, 9, 9, 6, 8, 3)",1
"(1, 7, 7, 9, 4, 7, 7, 3, 9, 7, 9, 3)",1
"(1, 7, 8, 9, 2, 6, 8, 4, 9, 7, 9, 3)",1
"(1, 7, 5, 7, 5, 8, 7, 3, 9, 7, 9, 3)",1
"(-1, 6, -1, 3, 9, 6, 7, 9, 9, 5, 9, 3)",1
"(-1, 6, 1, 3, 7, 6, 8, 9, 9, 5, 9, 4)",1
"(1, 7, 5, 5, 5, 8, 8, 5, 9, 9, 9, 3)",1
"(-1, 6, -1, 3, 9, 6, 6, 9, 9, 5, 9, 4)",1
"(-1, 6, 1, 3, 8, 6, 6, 7, 9, 6, 9, 4)",1
"(1, 7, 7, 9, 4, 6, 9, 7, 9, 7, 9, 3)",1
"(-1, 6, -1, 3, 6, 6, 6, 6, 9, 5, 9, 4)",1
"(-1, 7, 2, 4, 9, 7, 7, 9, 8, 6, 9, 3)",1
"(1, 7, 6, 4, 9, 9, 9, 9, 8, 9, 9, 3)",1
"(1, 7, 8, 9, 5, 7, 7, 4, 9, 7, 9, 3)",1
"(1, 7, 7, 9, 5, 8, 9, 6, 9, 6, 9, 3)",1
"(1, 7, 6, 5, 9, 9, 9, 9, 8, 9, 9, 3)",1
"(-1, 6, 1, 3, 6, 7, 6, 4, 9, 6, 9, 3)",1
"(1, 7, 9, 9, 9, 9, 8, 8, 8, 7, 9, 3)",1
"(1, 7, 1, 4, 5, 6, 9, 8, 9, 6, 9, 3)",1
"(1, 7, 9, 9, 3, 7, 9, 4, 9, 9, 9, 3)",1
"(-1, 6, 1, 3, 6, 7, 5, 5, 9, 6, 9, 5)",1
"(-1, 6, -1, 3, 9, 9, 9, 9, 9, 5, 9, 4)",1
