,0
"(1, 7, 9, 8, 6, 8, 9, 9, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 6, 9, 3, 5, 9, 4, 9, 3)",1
"(1, 7, 9, 8, 9, 9, 9, 9, 9, 9, 9, 3)",1
"(1, 7, 5, 6, 6, 9, 3, 3, 9, 4, 9, 3)",1
"(1, 7, 6, 7, 3, 7, 4, 4, 9, 3, 9, 4)",1
"(1, 7, 7, 7, 5, 7, 9, 9, 9, 7, 9, 3)",1
"(1, 7, 9, 9, 2, 8, 9, 3, 9, 9, 9, 4)",1
"(1, 7, 9, 8, 9, 9, 4, 9, 9, 5, 9, 3)",1
"(1, 7, 9, 8, 5, 9, 9, 9, 9, 3, 9, 5)",1
"(1, 7, 8, 8, 9, 9, 4, 8, 9, 6, 9, 3)",1
"(1, 7, 3, 6, 9, 9, 6, 8, 9, 4, 9, 3)",1
"(1, 7, 3, 6, 6, 8, 7, 4, 9, 7, 9, 3)",1
"(1, 7, 9, 8, 4, 9, 8, 6, 9, 7, 9, 3)",1
"(1, 7, 6, 6, 4, 7, 3, 5, 9, 3, 9, 3)",1
"(1, 7, 6, 7, 9, 8, 8, 8, 9, 9, 9, 3)",1
"(1, 7, 7, 7, 9, 9, 9, 7, 8, 9, 9, 3)",1
"(1, 7, 4, 6, 9, 7, 3, 9, 9, 3, 9, 3)",2
"(1, 7, 6, 7, 5, 9, 8, 7, 9, 4, 9, 4)",1
"(1, 7, 4, 6, 4, 7, 4, 4, 9, 3, 9, 3)",1
"(1, 7, 9, 8, 3, 9, 4, 4, 9, 4, 9, 3)",1
"(1, 7, 9, 8, 7, 9, 9, 9, 9, 9, 9, 3)",1
"(1, 7, 4, 6, 5, 7, 4, 6, 9, 3, 9, 3)",1
"(1, 7, 9, 8, 5, 8, 8, 8, 9, 7, 9, 3)",1
"(1, 7, 9, 8, 9, 9, 8, 9, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 3, 9, 8, 3, 9, 9, 9, 4)",1
"(1, 7, 7, 7, 8, 8, 2, 8, 9, 3, 9, 3)",1
"(1, 7, 9, 8, 8, 9, 9, 9, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 7, 8, 4, 9, 9, 4, 9, 3)",1
"(1, 7, 5, 6, 9, 7, 9, 9, 9, 9, 9, 3)",1
