,0
"(9, 9, 3, 8, 9, 9, 9, 9, 9, 6, 6, 3)",1
"(3, 7, 2, 6, 5, 8, 7, 4, 9, 6, 9, 3)",1
"(1, 7, 9, 8, 5, 9, 9, 5, 9, 9, 9, 3)",1
"(4, 7, 9, 8, 3, 9, 9, 4, 6, 9, 9, 3)",1
"(6, 8, -1, 6, 3, 6, 7, 4, 9, 7, 9, 3)",1
"(9, 9, 8, 9, 5, 9, 9, 4, 9, 8, 9, 9)",1
"(7, 8, 3, 7, 9, 9, 9, 9, 9, 6, 7, 3)",1
"(-2, 7, 9, 8, 8, 9, 9, 8, 9, 9, 9, 3)",1
"(2, 7, 9, 8, 8, 9, 9, 9, 8, 9, 9, 3)",1
"(9, 9, 3, 8, 9, 9, 9, 9, 5, 6, 9, 3)",1
"(9, 9, 2, 8, 8, 7, 6, 7, 9, 9, 9, 3)",1
"(9, 9, 5, 8, 4, 8, 6, 3, 9, 8, 5, 3)",1
"(2, 7, 2, 6, 9, 9, 8, 8, 9, 6, 9, 3)",1
"(4, 7, 7, 7, 8, 7, 9, 9, 9, 9, 7, 3)",1
"(-1, 7, 9, 8, 4, 9, 8, 4, 9, 9, 9, 3)",1
"(9, 9, 4, 8, 7, 9, 9, 7, 5, 6, 9, 3)",1
"(8, 9, -2, 8, 6, 8, 8, 7, 9, 6, 9, 3)",1
"(7, 8, -1, 7, 5, 6, 9, 8, 9, 7, 9, 3)",1
"(9, 9, 2, 8, 3, 6, 7, 4, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 9, 9, 9, 9, 7, 9, 9, 3)",1
"(-1, 7, 9, 8, 4, 9, 9, 4, 9, 9, 9, 3)",1
"(4, 7, 9, 8, 8, 9, 9, 7, 7, 9, 8, 3)",1
"(9, 9, -2, 8, 9, 7, 7, 9, 9, 7, 9, 3)",1
"(8, 9, 2, 8, 9, 9, 8, 8, 7, 6, 9, 3)",1
"(5, 7, 5, 6, 3, 6, 9, 5, 9, 7, 6, 4)",1
"(9, 9, 8, 9, 4, 9, 8, 3, 8, 9, 9, 4)",1
"(-2, 7, 8, 8, 5, 9, 9, 4, 9, 8, 9, 3)",1
"(9, 9, 9, 9, 3, 9, 9, 3, 9, 9, 9, 8)",1
"(9, 9, -2, 8, 9, 7, 7, 9, 9, 6, 9, 3)",1
"(5, 8, 3, 6, 9, 8, 8, 9, 6, 6, 9, 3)",1
