,0
"(1, 7, 9, 8, 3, 8, 3, 3, 9, 3, 9, 4)",1
"(1, 7, 4, 6, 9, 8, 5, 9, 9, 3, 9, 4)",1
"(1, 7, 3, 6, 6, 7, 5, 7, 9, 3, 9, 3)",1
"(1, 7, 8, 8, 9, 8, 2, 9, 9, 4, 9, 3)",1
"(1, 7, 5, 6, 7, 7, 3, 7, 9, 3, 9, 4)",1
"(1, 7, 4, 6, 4, 7, 8, 4, 9, 8, 9, 3)",1
"(1, 7, 8, 8, 2, 8, 8, 5, 9, 7, 9, 3)",1
"(1, 7, 5, 6, 4, 7, 9, 9, 8, 4, 9, 3)",1
"(1, 7, 8, 8, 3, 8, 9, 9, 9, 4, 9, 3)",1
"(1, 7, 9, 8, 3, 9, 9, 9, 9, 4, 9, 3)",2
"(1, 7, 5, 6, 3, 7, 9, 5, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 2, 8, 8, 4, 9, 8, 9, 3)",1
"(1, 7, 9, 8, 4, 9, 4, 5, 9, 5, 9, 3)",1
"(1, 7, 9, 8, 5, 9, 3, 4, 9, 4, 9, 3)",1
"(1, 7, 9, 8, 6, 8, 6, 9, 9, 3, 9, 4)",1
"(1, 7, 7, 7, 9, 9, 9, 7, 8, 9, 9, 3)",1
"(1, 7, 6, 7, 9, 8, 4, 9, 9, 5, 9, 3)",1
"(1, 7, 9, 8, 2, 8, 9, 7, 9, 6, 9, 3)",1
"(1, 7, 7, 7, 2, 8, 9, 5, 9, 8, 9, 3)",1
"(1, 7, 5, 6, 9, 8, 2, 8, 9, 3, 9, 3)",1
"(1, 7, 8, 8, 9, 8, 8, 9, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 9, 9, 3, 8, 8, 3, 9, 3)",1
"(1, 7, 9, 8, 2, 9, 4, 4, 9, 4, 9, 3)",1
"(1, 7, 5, 6, 6, 6, 9, 9, 9, 8, 9, 3)",1
"(1, 7, 9, 8, 4, 9, 9, 3, 9, 9, 9, 4)",1
"(1, 7, 3, 6, 9, 9, 9, 6, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 8, 9, 9, 9, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 9, 9, 3, 9, 9, 4, 9, 3)",1
"(1, 7, 3, 6, 9, 9, 9, 9, 9, 6, 9, 3)",1
