,0
"(3, 9, 9, 8, 9, 9, 9, 9, 8, 8, 9, 3)",1
"(2, 9, 9, 8, 5, 9, 9, 5, 8, 9, 9, 3)",1
"(-4, 3, 2, 4, 5, 5, 9, 9, 9, 4, 8, 4)",1
"(-4, 3, -1, 4, 9, 9, 4, 5, 9, 5, 9, 4)",1
"(-4, 3, 1, 4, 8, 6, 5, 7, 9, 4, 9, 5)",1
"(-4, 3, 3, 4, 3, 4, 6, 5, 9, 5, 8, 4)",1
"(3, 9, 3, 6, 9, 9, 9, 9, 9, 6, 9, 3)",1
"(-5, 3, 7, 6, 6, 7, 8, 7, 9, 7, 7, 4)",1
"(3, 9, 9, 8, 3, 9, 9, 3, 9, 9, 9, 4)",1
"(-5, 3, 9, 7, 9, 9, 8, 8, 9, 8, 8, 5)",1
"(-4, 3, 6, 6, 7, 8, 7, 6, 9, 6, 6, 4)",1
"(3, 9, 9, 8, 5, 9, 9, 5, 9, 9, 8, 3)",1
"(-5, 3, 8, 6, 9, 9, 7, 7, 7, 7, 9, 4)",1
"(3, 9, 4, 6, 5, 8, 7, 4, 9, 6, 9, 3)",1
"(3, 9, 9, 8, 4, 9, 9, 4, 9, 9, 9, 5)",1
"(-4, 3, 9, 7, 5, 9, 7, 3, 9, 9, 9, 4)",1
"(-5, 3, 9, 8, 6, 7, 9, 8, 9, 7, 9, 7)",1
"(-5, 3, 9, 8, 8, 9, 7, 6, 7, 7, 9, 4)",1
"(-4, 3, 8, 6, 5, 8, 7, 4, 9, 9, 9, 4)",1
"(-1, 6, 3, 6, 8, 9, 8, 7, 9, 6, 9, 3)",1
"(3, 9, 9, 8, 9, 8, 9, 9, 9, 9, 9, 3)",1
"(-5, 3, 9, 7, 6, 9, 7, 4, 9, 9, 9, 5)",1
"(-5, 3, 9, 7, 6, 7, 9, 8, 9, 7, 7, 4)",1
"(-4, 4, -1, 4, 4, 5, 7, 6, 9, 5, 9, 3)",1
"(-4, 3, 6, 5, 8, 9, 9, 8, 6, 6, 9, 3)",1
"(-4, 4, -1, 4, 9, 7, 7, 9, 9, 5, 9, 3)",1
"(3, 9, 9, 8, 8, 9, 9, 9, 9, 9, 8, 3)",1
"(3, 9, 4, 6, 3, 6, 9, 6, 9, 7, 9, 3)",1
"(-4, 3, 8, 7, 3, 7, 8, 4, 9, 7, 7, 4)",1
"(3, 9, 4, 6, 7, 9, 7, 4, 9, 6, 9, 3)",1
