,0
"(1, 7, 2, 6, 9, 8, 5, 8, 9, 5, 9, 3)",1
"(1, 7, 2, 6, 9, 7, -4, 9, 9, 5, 9, 3)",1
"(1, 7, 9, 8, 5, 9, 6, 8, 7, 6, 7, 3)",1
"(1, 7, 7, 7, 1, 7, -3, 9, 9, 9, 9, 3)",1
"(1, 7, 9, 8, -6, 8, 5, 6, 3, 3, 9, 3)",1
"(1, 7, 9, 9, -6, 8, -6, 4, 9, 9, 9, 3)",1
"(1, 7, 7, 7, 4, 7, 5, 7, 9, 3, 9, 8)",1
"(1, 7, 9, 8, 6, 9, 7, 8, 9, 9, 9, 3)",1
"(1, 7, 9, 9, 9, 8, -6, 9, 9, 9, 9, 3)",1
"(1, 7, 9, 8, -6, 8, -6, 6, 6, 3, 6, 3)",1
"(1, 7, 5, 6, 8, 9, -5, 5, 7, 3, 9, 6)",1
"(1, 7, 5, 6, -6, 6, -4, 8, 9, 5, 7, 3)",1
"(1, 7, 9, 8, 9, 9, 7, 8, 9, 9, 9, 3)",1
"(1, 7, 2, 6, 7, 6, -1, 9, 9, 3, 9, 5)",1
"(1, 7, 2, 6, -6, 6, -6, 8, 9, 5, 9, 3)",1
"(1, 7, 9, 8, -6, 9, -6, 7, 9, 9, 8, 3)",1
"(1, 7, 9, 8, 4, 9, 8, 9, 9, 3, 9, 9)",1
"(1, 7, 3, 6, 8, 6, -6, 9, 8, 3, 8, 3)",1
"(1, 7, 8, 8, -3, 8, 7, 8, 4, 3, 9, 5)",1
"(1, 7, 9, 7, -6, 9, -6, 5, 8, 3, 4, 5)",1
"(1, 7, 9, 8, -6, 8, 2, 6, 9, 3, 3, 3)",1
"(1, 7, 7, 7, -6, 7, -6, 3, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 9, 9, 1, 8, 8, 3, 9, 9)",1
"(1, 7, -1, 6, 4, 6, 3, 6, 9, 3, 9, 3)",1
"(1, 7, 9, 8, 7, 9, 8, 9, 9, 7, 7, 3)",1
"(1, 7, 9, 8, 6, 9, 3, 5, 9, 5, 5, 3)",1
"(1, 7, 9, 8, 5, 9, -6, 4, 9, 9, 9, 3)",1
"(1, 7, 9, 8, 9, 9, -6, 9, 9, 9, 9, 3)",1
"(1, 7, 6, 7, -6, 7, 1, 7, 5, 3, 9, 4)",1
"(1, 7, 9, 8, 5, 9, 9, 7, 9, 6, 5, 3)",1
