,0
"(-4, 3, 9, 7, 2, 8, 9, 4, 9, 9, 9, 5)",1
"(-5, 3, 9, 7, 8, 8, 9, 9, 9, 7, 7, 4)",1
"(-4, 3, 2, 4, 4, 5, 7, 7, 9, 4, 7, 4)",1
"(3, 9, 4, 6, 7, 9, 8, 5, 9, 6, 9, 3)",1
"(-5, 3, 9, 7, 9, 8, 8, 9, 8, 9, 9, 4)",1
"(-3, 4, 2, 5, 3, 5, 9, 7, 9, 6, 9, 3)",1
"(-4, 3, 9, 8, 1, 7, 9, 4, 9, 9, 9, 4)",1
"(-5, 3, 9, 7, 5, 8, 8, 5, 9, 7, 7, 4)",1
"(-4, 3, 1, 4, 4, 5, 7, 6, 9, 4, 9, 4)",1
"(-4, 3, 3, 4, 6, 6, 6, 6, 7, 4, 9, 4)",1
"(3, 9, 8, 7, 9, 9, 9, 9, 9, 8, 9, 3)",1
"(-4, 4, 1, 5, 9, 9, 9, 9, 9, 5, 9, 3)",1
"(-5, 3, 9, 8, 6, 7, 9, 8, 9, 7, 7, 5)",1
"(2, 9, 5, 6, 4, 7, 7, 4, 9, 7, 8, 3)",1
"(1, 7, 3, 6, 4, 7, 9, 6, 9, 6, 9, 3)",1
"(-4, 3, 1, 4, 8, 8, 6, 6, 8, 4, 9, 3)",1
"(-4, 3, 1, 4, 9, 7, 6, 8, 9, 4, 9, 6)",1
"(-5, 3, 9, 8, 9, 7, 8, 9, 7, 7, 9, 4)",1
"(-4, 3, -1, 4, 5, 5, 5, 4, 9, 5, 9, 3)",1
"(-4, 3, 1, 4, 9, 9, 6, 7, 9, 4, 8, 3)",1
"(-4, 3, 4, 5, 4, 5, 9, 9, 8, 5, 8, 4)",1
"(-4, 3, 1, 4, 5, 4, 5, 6, 9, 6, 9, 3)",1
"(-2, 6, 3, 6, 7, 7, 9, 9, 9, 6, 9, 3)",1
"(-4, 3, 7, 6, 9, 9, 9, 9, 6, 6, 9, 4)",1
"(-4, 4, 3, 5, 5, 6, 6, 4, 7, 5, 9, 3)",1
"(3, 9, 9, 8, 9, 9, 9, 9, 9, 9, 8, 3)",1
"(-1, 7, 3, 6, 9, 7, 7, 9, 9, 6, 9, 3)",1
"(-4, 3, 4, 4, 3, 5, 8, 7, 9, 6, 9, 6)",1
"(1, 8, 3, 6, 7, 7, 8, 8, 9, 6, 9, 3)",1
"(-5, 3, 9, 7, 6, 8, 9, 8, 7, 7, 9, 5)",1
