,0
"(9, 9, 5, 8, 4, 8, 8, 4, 4, 7, 9, 3)",1
"(2, 7, 2, 6, 6, 7, 8, 7, 9, 7, 9, 3)",1
"(9, 9, 6, 9, 9, 9, 9, 9, 4, 7, 9, 3)",1
"(3, 7, 9, 8, 2, 8, 9, 3, 9, 9, 9, 5)",1
"(8, 9, 3, 8, 9, 7, 6, 8, 9, 9, 9, 3)",1
"(7, 8, 1, 7, 9, 9, 7, 7, 9, 6, 8, 3)",1
"(5, 7, 1, 6, 3, 6, 7, 3, 9, 7, 9, 3)",1
"(2, 7, 9, 8, 7, 9, 9, 8, 8, 9, 9, 3)",1
"(9, 9, 2, 8, 5, 8, 7, 4, 7, 6, 9, 3)",1
"(9, 9, 3, 8, 8, 6, 7, 9, 9, 9, 9, 3)",1
"(4, 7, 9, 8, 6, 9, 9, 5, 9, 9, 5, 3)",1
"(1, 7, 4, 6, 6, 9, 9, 6, 9, 6, 9, 3)",1
"(9, 9, 3, 8, 2, 6, 8, 3, 9, 9, 9, 3)",1
"(6, 8, -1, 6, 7, 9, 6, 4, 9, 7, 9, 3)",1
"(7, 8, 9, 9, 3, 8, 9, 4, 7, 9, 7, 3)",1
"(3, 7, 5, 6, 9, 9, 7, 7, 8, 9, 9, 3)",1
"(9, 9, 6, 8, 9, 9, 9, 9, 4, 7, 9, 3)",1
"(5, 8, 2, 6, 9, 7, 7, 9, 9, 8, 8, 3)",1
"(9, 9, 6, 9, 4, 8, 7, 3, 8, 8, 9, 6)",1
"(6, 8, 2, 6, 6, 6, 9, 9, 9, 9, 9, 3)",1
"(8, 9, 4, 7, 1, 6, 8, 3, 9, 9, 9, 5)",1
"(9, 9, 1, 8, 7, 9, 9, 7, 7, 6, 9, 3)",1
"(9, 9, 8, 9, 4, 9, 8, 3, 9, 9, 9, 8)",1
"(9, 9, -2, 8, 9, 9, 9, 9, 9, 6, 9, 3)",1
"(9, 9, 5, 9, 9, 7, 7, 9, 4, 7, 9, 3)",1
"(9, 9, 2, 8, 4, 7, 7, 4, 7, 7, 9, 3)",1
"(-2, 7, 6, 6, 9, 9, 9, 9, 9, 7, 9, 3)",1
"(1, 7, 4, 6, 9, 9, 9, 9, 9, 6, 9, 3)",1
"(9, 9, 7, 9, 5, 9, 9, 5, 9, 7, 9, 9)",1
"(9, 9, 1, 8, 7, 9, 7, 5, 9, 6, 7, 3)",1
